T_sample_(K)	I_s	V_nv	R_nv
2.99547E+2	1.00004E-4	3.10011E-2	3.09999E+2
2.99552E+2	1.00004E-4	3.10013E-2	3.10000E+2
2.99560E+2	1.00004E-4	3.10018E-2	3.10005E+2
2.99570E+2	1.00004E-4	3.10024E-2	3.10011E+2
2.99580E+2	1.00004E-4	3.10030E-2	3.10017E+2
2.99590E+2	1.00004E-4	3.10035E-2	3.10022E+2
2.99600E+2	1.00004E-4	3.10042E-2	3.10029E+2
2.99607E+2	1.00004E-4	3.10045E-2	3.10032E+2
2.99614E+2	1.00004E-4	3.10046E-2	3.10033E+2
2.99621E+2	1.00004E-4	3.10049E-2	3.10036E+2
2.99629E+2	1.00004E-4	3.10052E-2	3.10039E+2
2.99635E+2	1.00004E-4	3.10056E-2	3.10043E+2
2.99640E+2	1.00004E-4	3.10058E-2	3.10045E+2
2.99646E+2	1.00004E-4	3.10058E-2	3.10045E+2
2.99651E+2	1.00004E-4	3.10059E-2	3.10045E+2
2.99656E+2	1.00004E-4	3.10058E-2	3.10044E+2
2.99658E+2	1.00004E-4	3.10056E-2	3.10042E+2
2.99658E+2	1.00004E-4	3.10054E-2	3.10041E+2
2.99659E+2	1.00004E-4	3.10050E-2	3.10037E+2
2.99660E+2	1.00004E-4	3.10044E-2	3.10031E+2
2.99660E+2	1.00004E-4	3.10038E-2	3.10025E+2
2.99655E+2	1.00004E-4	3.10028E-2	3.10016E+2
2.99650E+2	1.00004E-4	3.10020E-2	3.10007E+2
2.99646E+2	1.00004E-4	3.10011E-2	3.09998E+2
2.99640E+2	1.00005E-4	3.10000E-2	3.09986E+2
2.99630E+2	1.00004E-4	3.09990E-2	3.09976E+2
2.99620E+2	1.00004E-4	3.09978E-2	3.09964E+2
2.99610E+2	1.00004E-4	3.09966E-2	3.09953E+2
2.99596E+2	1.00004E-4	3.09953E-2	3.09939E+2
2.99582E+2	1.00004E-4	3.09935E-2	3.09922E+2
2.99567E+2	1.00004E-4	3.09918E-2	3.09905E+2
2.99551E+2	1.00004E-4	3.09902E-2	3.09888E+2
2.99532E+2	1.00004E-4	3.09883E-2	3.09869E+2
2.99513E+2	1.00004E-4	3.09863E-2	3.09849E+2
2.99492E+2	1.00004E-4	3.09841E-2	3.09827E+2
2.99467E+2	1.00004E-4	3.09820E-2	3.09806E+2
2.99442E+2	1.00004E-4	3.09798E-2	3.09785E+2
2.99416E+2	1.00004E-4	3.09773E-2	3.09760E+2
2.99388E+2	1.00004E-4	3.09748E-2	3.09734E+2
2.99360E+2	1.00004E-4	3.09723E-2	3.09710E+2
2.99331E+2	1.00004E-4	3.09697E-2	3.09684E+2
2.99296E+2	1.00004E-4	3.09668E-2	3.09655E+2
2.99260E+2	1.00004E-4	3.09638E-2	3.09625E+2
2.99226E+2	1.00004E-4	3.09609E-2	3.09596E+2
2.99191E+2	1.00004E-4	3.09580E-2	3.09567E+2
2.99155E+2	1.00004E-4	3.09549E-2	3.09536E+2
2.99114E+2	1.00004E-4	3.09520E-2	3.09507E+2
2.99072E+2	1.00004E-4	3.09490E-2	3.09477E+2
2.99028E+2	1.00004E-4	3.09457E-2	3.09444E+2
2.98985E+2	1.00004E-4	3.09422E-2	3.09409E+2
2.98940E+2	1.00004E-4	3.09387E-2	3.09374E+2
2.98894E+2	1.00004E-4	3.09350E-2	3.09336E+2
2.98845E+2	1.00004E-4	3.09312E-2	3.09298E+2
2.98795E+2	1.00004E-4	3.09277E-2	3.09264E+2
2.98746E+2	1.00004E-4	3.09242E-2	3.09229E+2
2.98694E+2	1.00004E-4	3.09205E-2	3.09192E+2
2.98641E+2	1.00004E-4	3.09166E-2	3.09153E+2
2.98587E+2	1.00004E-4	3.09125E-2	3.09112E+2
2.98531E+2	1.00004E-4	3.09085E-2	3.09071E+2
2.98475E+2	1.00004E-4	3.09047E-2	3.09034E+2
2.98416E+2	1.00004E-4	3.09004E-2	3.08991E+2
2.98357E+2	1.00004E-4	3.08960E-2	3.08947E+2
2.98298E+2	1.00004E-4	3.08916E-2	3.08904E+2
2.98237E+2	1.00004E-4	3.08873E-2	3.08861E+2
2.98173E+2	1.00004E-4	3.08826E-2	3.08813E+2
2.98107E+2	1.00004E-4	3.08776E-2	3.08763E+2
2.98041E+2	1.00004E-4	3.08732E-2	3.08719E+2
2.97975E+2	1.00004E-4	3.08688E-2	3.08675E+2
2.97905E+2	1.00004E-4	3.08645E-2	3.08632E+2
2.97839E+2	1.00004E-4	3.08602E-2	3.08589E+2
2.97772E+2	1.00004E-4	3.08556E-2	3.08543E+2
2.97702E+2	1.00004E-4	3.08510E-2	3.08497E+2
2.97631E+2	1.00004E-4	3.08465E-2	3.08452E+2
2.97560E+2	1.00004E-4	3.08419E-2	3.08405E+2
2.97489E+2	1.00004E-4	3.08369E-2	3.08355E+2
2.97415E+2	1.00004E-4	3.08321E-2	3.08307E+2
2.97340E+2	1.00004E-4	3.08274E-2	3.08261E+2
2.97264E+2	1.00004E-4	3.08221E-2	3.08208E+2
2.97187E+2	1.00004E-4	3.08167E-2	3.08155E+2
2.97109E+2	1.00004E-4	3.08121E-2	3.08108E+2
2.97029E+2	1.00004E-4	3.08072E-2	3.08058E+2
2.96952E+2	1.00004E-4	3.08016E-2	3.08003E+2
2.96876E+2	1.00004E-4	3.07962E-2	3.07949E+2
2.96797E+2	1.00004E-4	3.07912E-2	3.07899E+2
2.96716E+2	1.00004E-4	3.07860E-2	3.07847E+2
2.96636E+2	1.00004E-4	3.07803E-2	3.07790E+2
2.96553E+2	1.00004E-4	3.07745E-2	3.07732E+2
2.96470E+2	1.00004E-4	3.07691E-2	3.07677E+2
2.96386E+2	1.00004E-4	3.07636E-2	3.07623E+2
2.96300E+2	1.00004E-4	3.07586E-2	3.07573E+2
2.96215E+2	1.00004E-4	3.07529E-2	3.07516E+2
2.96128E+2	1.00004E-4	3.07469E-2	3.07455E+2
2.96042E+2	1.00004E-4	3.07420E-2	3.07406E+2
2.95956E+2	1.00004E-4	3.07370E-2	3.07357E+2
2.95871E+2	1.00004E-4	3.07318E-2	3.07306E+2
2.95785E+2	1.00004E-4	3.07267E-2	3.07254E+2
2.95696E+2	1.00004E-4	3.07211E-2	3.07198E+2
2.95608E+2	1.00004E-4	3.07153E-2	3.07140E+2
2.95521E+2	1.00004E-4	3.07093E-2	3.07080E+2
2.95432E+2	1.00004E-4	3.07035E-2	3.07022E+2
2.95340E+2	1.00004E-4	3.06978E-2	3.06965E+2
2.95249E+2	1.00004E-4	3.06920E-2	3.06907E+2
2.95158E+2	1.00004E-4	3.06864E-2	3.06851E+2
2.95066E+2	1.00004E-4	3.06807E-2	3.06794E+2
2.94972E+2	1.00004E-4	3.06747E-2	3.06734E+2
2.94879E+2	1.00004E-4	3.06687E-2	3.06674E+2
2.94784E+2	1.00004E-4	3.06622E-2	3.06609E+2
2.94686E+2	1.00004E-4	3.06560E-2	3.06547E+2
2.94589E+2	1.00004E-4	3.06506E-2	3.06493E+2
2.94494E+2	1.00004E-4	3.06450E-2	3.06437E+2
2.94397E+2	1.00004E-4	3.06386E-2	3.06373E+2
2.94300E+2	1.00004E-4	3.06326E-2	3.06312E+2
2.94204E+2	1.00004E-4	3.06276E-2	3.06263E+2
2.94108E+2	1.00004E-4	3.06222E-2	3.06208E+2
2.94012E+2	1.00004E-4	3.06162E-2	3.06149E+2
2.93915E+2	1.00004E-4	3.06102E-2	3.06090E+2
2.93818E+2	1.00004E-4	3.06045E-2	3.06032E+2
2.93720E+2	1.00004E-4	3.05984E-2	3.05971E+2
2.93623E+2	1.00004E-4	3.05923E-2	3.05910E+2
2.93525E+2	1.00004E-4	3.05862E-2	3.05849E+2
2.93423E+2	1.00004E-4	3.05799E-2	3.05786E+2
2.93321E+2	1.00004E-4	3.05736E-2	3.05723E+2
2.93220E+2	1.00004E-4	3.05677E-2	3.05663E+2
2.93120E+2	1.00004E-4	3.05617E-2	3.05604E+2
2.93019E+2	1.00004E-4	3.05557E-2	3.05544E+2
2.92917E+2	1.00004E-4	3.05499E-2	3.05486E+2
2.92815E+2	1.00004E-4	3.05441E-2	3.05428E+2
2.92715E+2	1.00004E-4	3.05381E-2	3.05368E+2
2.92613E+2	1.00004E-4	3.05320E-2	3.05307E+2
2.92510E+2	1.00004E-4	3.05263E-2	3.05249E+2
2.92408E+2	1.00004E-4	3.05204E-2	3.05191E+2
2.92307E+2	1.00004E-4	3.05143E-2	3.05130E+2
2.92204E+2	1.00004E-4	3.05077E-2	3.05064E+2
2.92101E+2	1.00004E-4	3.05013E-2	3.05000E+2
2.91996E+2	1.00004E-4	3.04948E-2	3.04935E+2
2.91891E+2	1.00004E-4	3.04881E-2	3.04868E+2
2.91786E+2	1.00004E-4	3.04820E-2	3.04807E+2
2.91680E+2	1.00004E-4	3.04762E-2	3.04749E+2
2.91576E+2	1.00004E-4	3.04701E-2	3.04688E+2
2.91471E+2	1.00004E-4	3.04640E-2	3.04627E+2
2.91370E+2	1.00004E-4	3.04575E-2	3.04562E+2
2.91267E+2	1.00004E-4	3.04512E-2	3.04499E+2
2.91162E+2	1.00004E-4	3.04452E-2	3.04439E+2
2.91058E+2	1.00004E-4	3.04392E-2	3.04379E+2
2.90954E+2	1.00004E-4	3.04328E-2	3.04315E+2
2.90850E+2	1.00004E-4	3.04264E-2	3.04251E+2
2.90746E+2	1.00004E-4	3.04203E-2	3.04189E+2
2.90643E+2	1.00004E-4	3.04142E-2	3.04129E+2
2.90538E+2	1.00004E-4	3.04079E-2	3.04066E+2
2.90433E+2	1.00004E-4	3.04014E-2	3.04001E+2
2.90330E+2	1.00004E-4	3.03956E-2	3.03943E+2
2.90225E+2	1.00004E-4	3.03890E-2	3.03877E+2
2.90118E+2	1.00004E-4	3.03830E-2	3.03817E+2
2.90013E+2	1.00004E-4	3.03777E-2	3.03764E+2
2.89908E+2	1.00004E-4	3.03717E-2	3.03704E+2
2.89804E+2	1.00004E-4	3.03654E-2	3.03641E+2
2.89700E+2	1.00004E-4	3.03594E-2	3.03581E+2
2.89596E+2	1.00004E-4	3.03533E-2	3.03521E+2
2.89490E+2	1.00004E-4	3.03474E-2	3.03461E+2
2.89385E+2	1.00004E-4	3.03420E-2	3.03407E+2
2.89283E+2	1.00004E-4	3.03356E-2	3.03342E+2
2.89179E+2	1.00004E-4	3.03285E-2	3.03271E+2
2.89071E+2	1.00004E-4	3.03215E-2	3.03202E+2
2.88962E+2	1.00004E-4	3.03152E-2	3.03139E+2
2.88855E+2	1.00004E-4	3.03098E-2	3.03086E+2
2.88748E+2	1.00004E-4	3.03032E-2	3.03019E+2
2.88642E+2	1.00004E-4	3.02963E-2	3.02950E+2
2.88534E+2	1.00004E-4	3.02906E-2	3.02893E+2
2.88427E+2	1.00004E-4	3.02849E-2	3.02836E+2
2.88320E+2	1.00004E-4	3.02784E-2	3.02771E+2
2.88211E+2	1.00004E-4	3.02706E-2	3.02693E+2
2.88102E+2	1.00004E-4	3.02635E-2	3.02622E+2
2.87992E+2	1.00004E-4	3.02579E-2	3.02566E+2
2.87883E+2	1.00004E-4	3.02523E-2	3.02510E+2
2.87777E+2	1.00004E-4	3.02461E-2	3.02448E+2
2.87671E+2	1.00004E-4	3.02394E-2	3.02381E+2
2.87563E+2	1.00004E-4	3.02333E-2	3.02320E+2
2.87455E+2	1.00004E-4	3.02275E-2	3.02262E+2
2.87347E+2	1.00004E-4	3.02215E-2	3.02202E+2
2.87241E+2	1.00004E-4	3.02146E-2	3.02133E+2
2.87131E+2	1.00004E-4	3.02077E-2	3.02064E+2
2.87023E+2	1.00004E-4	3.02008E-2	3.01995E+2
2.86911E+2	1.00004E-4	3.01944E-2	3.01931E+2
2.86799E+2	1.00004E-4	3.01884E-2	3.01871E+2
2.86690E+2	1.00004E-4	3.01825E-2	3.01812E+2
2.86583E+2	1.00004E-4	3.01763E-2	3.01751E+2
2.86475E+2	1.00004E-4	3.01699E-2	3.01686E+2
2.86366E+2	1.00004E-4	3.01637E-2	3.01624E+2
2.86257E+2	1.00004E-4	3.01575E-2	3.01563E+2
2.86148E+2	1.00004E-4	3.01516E-2	3.01504E+2
2.86040E+2	1.00004E-4	3.01449E-2	3.01436E+2
2.85933E+2	1.00004E-4	3.01382E-2	3.01369E+2
2.85825E+2	1.00004E-4	3.01318E-2	3.01305E+2
2.85717E+2	1.00004E-4	3.01250E-2	3.01237E+2
2.85610E+2	1.00004E-4	3.01185E-2	3.01172E+2
2.85502E+2	1.00004E-4	3.01122E-2	3.01109E+2
2.85392E+2	1.00004E-4	3.01060E-2	3.01047E+2
2.85283E+2	1.00004E-4	3.00995E-2	3.00983E+2
2.85176E+2	1.00004E-4	3.00933E-2	3.00921E+2
2.85068E+2	1.00004E-4	3.00876E-2	3.00863E+2
2.84962E+2	1.00004E-4	3.00811E-2	3.00798E+2
2.84853E+2	1.00004E-4	3.00741E-2	3.00728E+2
2.84743E+2	1.00004E-4	3.00684E-2	3.00671E+2
2.84638E+2	1.00004E-4	3.00629E-2	3.00616E+2
2.84532E+2	1.00004E-4	3.00562E-2	3.00549E+2
2.84423E+2	1.00004E-4	3.00495E-2	3.00482E+2
2.84316E+2	1.00004E-4	3.00438E-2	3.00425E+2
2.84208E+2	1.00004E-4	3.00378E-2	3.00366E+2
2.84100E+2	1.00004E-4	3.00312E-2	3.00299E+2
2.83992E+2	1.00004E-4	3.00246E-2	3.00233E+2
2.83882E+2	1.00004E-4	3.00187E-2	3.00175E+2
2.83777E+2	1.00004E-4	3.00127E-2	3.00114E+2
2.83670E+2	1.00004E-4	3.00056E-2	3.00044E+2
2.83561E+2	1.00004E-4	2.99986E-2	2.99974E+2
2.83451E+2	1.00004E-4	2.99925E-2	2.99912E+2
2.83341E+2	1.00004E-4	2.99858E-2	2.99845E+2
2.83230E+2	1.00004E-4	2.99791E-2	2.99778E+2
2.83120E+2	1.00004E-4	2.99726E-2	2.99713E+2
2.83009E+2	1.00004E-4	2.99659E-2	2.99646E+2
2.82899E+2	1.00004E-4	2.99590E-2	2.99578E+2
2.82787E+2	1.00004E-4	2.99528E-2	2.99515E+2
2.82675E+2	1.00004E-4	2.99467E-2	2.99454E+2
2.82566E+2	1.00004E-4	2.99403E-2	2.99390E+2
2.82457E+2	1.00004E-4	2.99341E-2	2.99329E+2
2.82346E+2	1.00004E-4	2.99274E-2	2.99262E+2
2.82236E+2	1.00004E-4	2.99201E-2	2.99188E+2
2.82125E+2	1.00004E-4	2.99132E-2	2.99120E+2
2.82013E+2	1.00004E-4	2.99069E-2	2.99056E+2
2.81900E+2	1.00004E-4	2.99007E-2	2.98994E+2
2.81788E+2	1.00004E-4	2.98951E-2	2.98938E+2
2.81679E+2	1.00004E-4	2.98889E-2	2.98877E+2
2.81569E+2	1.00004E-4	2.98825E-2	2.98812E+2
2.81462E+2	1.00004E-4	2.98766E-2	2.98753E+2
2.81351E+2	1.00004E-4	2.98702E-2	2.98689E+2
2.81239E+2	1.00004E-4	2.98636E-2	2.98623E+2
2.81130E+2	1.00004E-4	2.98573E-2	2.98560E+2
2.81020E+2	1.00004E-4	2.98509E-2	2.98496E+2
2.80908E+2	1.00004E-4	2.98440E-2	2.98427E+2
2.80798E+2	1.00004E-4	2.98373E-2	2.98360E+2
2.80686E+2	1.00004E-4	2.98309E-2	2.98296E+2
2.80574E+2	1.00004E-4	2.98245E-2	2.98233E+2
2.80464E+2	1.00004E-4	2.98183E-2	2.98170E+2
2.80355E+2	1.00004E-4	2.98121E-2	2.98109E+2
2.80246E+2	1.00004E-4	2.98066E-2	2.98054E+2
2.80138E+2	1.00004E-4	2.98010E-2	2.97997E+2
2.80033E+2	1.00004E-4	2.97945E-2	2.97932E+2
2.79924E+2	1.00004E-4	2.97876E-2	2.97864E+2
2.79815E+2	1.00004E-4	2.97806E-2	2.97793E+2
2.79705E+2	1.00004E-4	2.97733E-2	2.97720E+2
2.79593E+2	1.00004E-4	2.97664E-2	2.97651E+2
2.79482E+2	1.00004E-4	2.97602E-2	2.97589E+2
2.79371E+2	1.00004E-4	2.97539E-2	2.97526E+2
2.79262E+2	1.00004E-4	2.97479E-2	2.97466E+2
2.79153E+2	1.00004E-4	2.97413E-2	2.97401E+2
2.79042E+2	1.00004E-4	2.97341E-2	2.97328E+2
2.78931E+2	1.00004E-4	2.97274E-2	2.97261E+2
2.78821E+2	1.00004E-4	2.97206E-2	2.97193E+2
2.78710E+2	1.00004E-4	2.97146E-2	2.97133E+2
2.78599E+2	1.00004E-4	2.97082E-2	2.97069E+2
2.78488E+2	1.00004E-4	2.97025E-2	2.97012E+2
2.78379E+2	1.00004E-4	2.96968E-2	2.96956E+2
2.78270E+2	1.00004E-4	2.96906E-2	2.96893E+2
2.78162E+2	1.00004E-4	2.96842E-2	2.96829E+2
2.78055E+2	1.00004E-4	2.96780E-2	2.96767E+2
2.77945E+2	1.00004E-4	2.96709E-2	2.96696E+2
2.77832E+2	1.00004E-4	2.96636E-2	2.96624E+2
2.77718E+2	1.00004E-4	2.96574E-2	2.96562E+2
2.77606E+2	1.00004E-4	2.96512E-2	2.96501E+2
2.77496E+2	1.00004E-4	2.96450E-2	2.96438E+2
2.77387E+2	1.00004E-4	2.96392E-2	2.96379E+2
2.77279E+2	1.00004E-4	2.96337E-2	2.96324E+2
2.77171E+2	1.00004E-4	2.96278E-2	2.96266E+2
2.77064E+2	1.00004E-4	2.96220E-2	2.96208E+2
2.76955E+2	1.00004E-4	2.96158E-2	2.96145E+2
2.76847E+2	1.00004E-4	2.96100E-2	2.96088E+2
2.76741E+2	1.00004E-4	2.96046E-2	2.96033E+2
2.76633E+2	1.00004E-4	2.95985E-2	2.95973E+2
2.76524E+2	1.00004E-4	2.95916E-2	2.95904E+2
2.76415E+2	1.00004E-4	2.95848E-2	2.95835E+2
2.76305E+2	1.00004E-4	2.95782E-2	2.95769E+2
2.76194E+2	1.00004E-4	2.95718E-2	2.95705E+2
2.76082E+2	1.00004E-4	2.95650E-2	2.95638E+2
2.75971E+2	1.00004E-4	2.95589E-2	2.95577E+2
2.75859E+2	1.00004E-4	2.95528E-2	2.95515E+2
2.75748E+2	1.00004E-4	2.95465E-2	2.95452E+2
2.75640E+2	1.00004E-4	2.95402E-2	2.95389E+2
2.75530E+2	1.00004E-4	2.95338E-2	2.95325E+2
2.75421E+2	1.00004E-4	2.95273E-2	2.95261E+2
2.75310E+2	1.00004E-4	2.95210E-2	2.95197E+2
2.75198E+2	1.00004E-4	2.95149E-2	2.95137E+2
2.75088E+2	1.00004E-4	2.95084E-2	2.95072E+2
2.74978E+2	1.00004E-4	2.95022E-2	2.95009E+2
2.74869E+2	1.00004E-4	2.94958E-2	2.94945E+2
2.74762E+2	1.00004E-4	2.94895E-2	2.94883E+2
2.74654E+2	1.00004E-4	2.94827E-2	2.94814E+2
2.74545E+2	1.00004E-4	2.94761E-2	2.94749E+2
2.74435E+2	1.00004E-4	2.94699E-2	2.94686E+2
2.74326E+2	1.00004E-4	2.94634E-2	2.94621E+2
2.74217E+2	1.00004E-4	2.94570E-2	2.94557E+2
2.74109E+2	1.00004E-4	2.94506E-2	2.94493E+2
2.74001E+2	1.00004E-4	2.94447E-2	2.94434E+2
2.73893E+2	1.00004E-4	2.94388E-2	2.94376E+2
2.73785E+2	1.00004E-4	2.94330E-2	2.94317E+2
2.73678E+2	1.00004E-4	2.94267E-2	2.94254E+2
2.73570E+2	1.00004E-4	2.94203E-2	2.94190E+2
2.73463E+2	1.00004E-4	2.94144E-2	2.94131E+2
2.73356E+2	1.00004E-4	2.94084E-2	2.94071E+2
2.73250E+2	1.00004E-4	2.94019E-2	2.94006E+2
2.73143E+2	1.00004E-4	2.93951E-2	2.93939E+2
2.73032E+2	1.00004E-4	2.93890E-2	2.93877E+2
2.72923E+2	1.00004E-4	2.93834E-2	2.93821E+2
2.72816E+2	1.00004E-4	2.93777E-2	2.93764E+2
2.72708E+2	1.00004E-4	2.93716E-2	2.93704E+2
2.72602E+2	1.00004E-4	2.93652E-2	2.93640E+2
2.72496E+2	1.00004E-4	2.93590E-2	2.93577E+2
2.72389E+2	1.00004E-4	2.93530E-2	2.93518E+2
2.72282E+2	1.00004E-4	2.93472E-2	2.93460E+2
2.72175E+2	1.00004E-4	2.93405E-2	2.93393E+2
2.72067E+2	1.00004E-4	2.93344E-2	2.93332E+2
2.71959E+2	1.00004E-4	2.93285E-2	2.93272E+2
2.71853E+2	1.00004E-4	2.93216E-2	2.93204E+2
2.71746E+2	1.00004E-4	2.93156E-2	2.93144E+2
2.71638E+2	1.00004E-4	2.93098E-2	2.93086E+2
2.71530E+2	1.00004E-4	2.93035E-2	2.93023E+2
2.71423E+2	1.00004E-4	2.92973E-2	2.92960E+2
2.71315E+2	1.00004E-4	2.92913E-2	2.92900E+2
2.71208E+2	1.00004E-4	2.92856E-2	2.92843E+2
2.71101E+2	1.00004E-4	2.92799E-2	2.92787E+2
2.70993E+2	1.00004E-4	2.92741E-2	2.92728E+2
2.70888E+2	1.00004E-4	2.92674E-2	2.92661E+2
2.70783E+2	1.00004E-4	2.92612E-2	2.92600E+2
2.70675E+2	1.00004E-4	2.92556E-2	2.92543E+2
2.70568E+2	1.00004E-4	2.92497E-2	2.92485E+2
2.70462E+2	1.00004E-4	2.92433E-2	2.92421E+2
2.70355E+2	1.00004E-4	2.92368E-2	2.92355E+2
2.70246E+2	1.00004E-4	2.92305E-2	2.92292E+2
2.70137E+2	1.00004E-4	2.92238E-2	2.92226E+2
2.70028E+2	1.00004E-4	2.92178E-2	2.92166E+2
2.69920E+2	1.00004E-4	2.92126E-2	2.92114E+2
2.69814E+2	1.00004E-4	2.92065E-2	2.92053E+2
2.69708E+2	1.00004E-4	2.92007E-2	2.91994E+2
2.69601E+2	1.00004E-4	2.91948E-2	2.91936E+2
2.69495E+2	1.00004E-4	2.91880E-2	2.91867E+2
2.69390E+2	1.00004E-4	2.91812E-2	2.91800E+2
2.69284E+2	1.00004E-4	2.91748E-2	2.91735E+2
2.69177E+2	1.00004E-4	2.91685E-2	2.91673E+2
2.69071E+2	1.00004E-4	2.91627E-2	2.91614E+2
2.68966E+2	1.00004E-4	2.91565E-2	2.91553E+2
2.68857E+2	1.00004E-4	2.91498E-2	2.91486E+2
2.68748E+2	1.00004E-4	2.91431E-2	2.91419E+2
2.68642E+2	1.00004E-4	2.91374E-2	2.91362E+2
2.68538E+2	1.00004E-4	2.91323E-2	2.91310E+2
2.68436E+2	1.00004E-4	2.91263E-2	2.91251E+2
2.68330E+2	1.00004E-4	2.91197E-2	2.91185E+2
2.68224E+2	1.00004E-4	2.91135E-2	2.91123E+2
2.68119E+2	1.00004E-4	2.91072E-2	2.91060E+2
2.68014E+2	1.00004E-4	2.91016E-2	2.91004E+2
2.67910E+2	1.00004E-4	2.90960E-2	2.90947E+2
2.67805E+2	1.00004E-4	2.90897E-2	2.90885E+2
2.67700E+2	1.00004E-4	2.90836E-2	2.90824E+2
2.67595E+2	1.00004E-4	2.90774E-2	2.90761E+2
2.67490E+2	1.00004E-4	2.90716E-2	2.90704E+2
2.67386E+2	1.00004E-4	2.90656E-2	2.90643E+2
2.67281E+2	1.00004E-4	2.90598E-2	2.90586E+2
2.67176E+2	1.00004E-4	2.90539E-2	2.90527E+2
2.67073E+2	1.00004E-4	2.90478E-2	2.90466E+2
2.66970E+2	1.00004E-4	2.90423E-2	2.90411E+2
2.66866E+2	1.00004E-4	2.90363E-2	2.90350E+2
2.66760E+2	1.00004E-4	2.90298E-2	2.90285E+2
2.66656E+2	1.00004E-4	2.90235E-2	2.90223E+2
2.66551E+2	1.00004E-4	2.90175E-2	2.90162E+2
2.66444E+2	1.00004E-4	2.90114E-2	2.90101E+2
2.66339E+2	1.00004E-4	2.90049E-2	2.90037E+2
2.66231E+2	1.00004E-4	2.89983E-2	2.89971E+2
2.66125E+2	1.00004E-4	2.89925E-2	2.89913E+2
2.66022E+2	1.00004E-4	2.89866E-2	2.89854E+2
2.65915E+2	1.00004E-4	2.89805E-2	2.89793E+2
2.65810E+2	1.00004E-4	2.89745E-2	2.89733E+2
2.65704E+2	1.00004E-4	2.89678E-2	2.89666E+2
2.65597E+2	1.00004E-4	2.89615E-2	2.89603E+2
2.65491E+2	1.00004E-4	2.89557E-2	2.89545E+2
2.65385E+2	1.00004E-4	2.89497E-2	2.89484E+2
2.65279E+2	1.00004E-4	2.89436E-2	2.89424E+2
2.65173E+2	1.00004E-4	2.89375E-2	2.89363E+2
2.65068E+2	1.00004E-4	2.89319E-2	2.89307E+2
2.64963E+2	1.00004E-4	2.89268E-2	2.89256E+2
2.64859E+2	1.00004E-4	2.89211E-2	2.89199E+2
2.64758E+2	1.00004E-4	2.89148E-2	2.89136E+2
2.64655E+2	1.00004E-4	2.89088E-2	2.89076E+2
2.64550E+2	1.00004E-4	2.89033E-2	2.89021E+2
2.64445E+2	1.00004E-4	2.88979E-2	2.88967E+2
2.64343E+2	1.00004E-4	2.88927E-2	2.88915E+2
2.64241E+2	1.00004E-4	2.88870E-2	2.88858E+2
2.64139E+2	1.00004E-4	2.88808E-2	2.88795E+2
2.64036E+2	1.00004E-4	2.88750E-2	2.88738E+2
2.63933E+2	1.00004E-4	2.88694E-2	2.88682E+2
2.63833E+2	1.00004E-4	2.88635E-2	2.88622E+2
2.63733E+2	1.00004E-4	2.88580E-2	2.88567E+2
2.63631E+2	1.00004E-4	2.88521E-2	2.88509E+2
2.63529E+2	1.00004E-4	2.88457E-2	2.88445E+2
2.63426E+2	1.00004E-4	2.88395E-2	2.88383E+2
2.63324E+2	1.00004E-4	2.88333E-2	2.88321E+2
2.63222E+2	1.00004E-4	2.88275E-2	2.88263E+2
2.63120E+2	1.00004E-4	2.88220E-2	2.88207E+2
2.63019E+2	1.00004E-4	2.88157E-2	2.88145E+2
2.62917E+2	1.00004E-4	2.88098E-2	2.88086E+2
2.62815E+2	1.00004E-4	2.88042E-2	2.88029E+2
2.62713E+2	1.00004E-4	2.87978E-2	2.87965E+2
2.62610E+2	1.00004E-4	2.87910E-2	2.87897E+2
2.62504E+2	1.00004E-4	2.87847E-2	2.87835E+2
2.62401E+2	1.00004E-4	2.87792E-2	2.87779E+2
2.62299E+2	1.00004E-4	2.87735E-2	2.87723E+2
2.62195E+2	1.00004E-4	2.87674E-2	2.87662E+2
2.62094E+2	1.00004E-4	2.87613E-2	2.87601E+2
2.61993E+2	1.00004E-4	2.87556E-2	2.87543E+2
2.61892E+2	1.00004E-4	2.87496E-2	2.87484E+2
2.61788E+2	1.00004E-4	2.87432E-2	2.87420E+2
2.61684E+2	1.00004E-4	2.87370E-2	2.87358E+2
2.61581E+2	1.00004E-4	2.87314E-2	2.87302E+2
2.61478E+2	1.00004E-4	2.87254E-2	2.87241E+2
2.61376E+2	1.00004E-4	2.87190E-2	2.87178E+2
2.61273E+2	1.00004E-4	2.87127E-2	2.87115E+2
2.61170E+2	1.00004E-4	2.87063E-2	2.87051E+2
2.61066E+2	1.00004E-4	2.87003E-2	2.86990E+2
2.60962E+2	1.00004E-4	2.86945E-2	2.86933E+2
2.60859E+2	1.00004E-4	2.86888E-2	2.86877E+2
2.60758E+2	1.00004E-4	2.86834E-2	2.86822E+2
2.60656E+2	1.00004E-4	2.86783E-2	2.86770E+2
2.60555E+2	1.00004E-4	2.86725E-2	2.86713E+2
2.60454E+2	1.00004E-4	2.86664E-2	2.86651E+2
2.60352E+2	1.00004E-4	2.86603E-2	2.86591E+2
2.60251E+2	1.00004E-4	2.86544E-2	2.86532E+2
2.60149E+2	1.00004E-4	2.86488E-2	2.86475E+2
2.60048E+2	1.00004E-4	2.86428E-2	2.86415E+2
2.59947E+2	1.00004E-4	2.86372E-2	2.86360E+2
2.59845E+2	1.00004E-4	2.86317E-2	2.86305E+2
